ID,Collection_year,Genus,Open_nomenclature,Species,Dataset,SV_ratio,S,K_mean,K_var,K_skew,K_kurt,H_mean,H_var,H_skew,H_kurt,k2_mean,k2_var,k2_skew,k2_kurt,k1_mean,k1_var,k1_skew,k1_kurt,K_tip_mean,K_tip_var,K_tip_skew,K_tip_kurt,H_tip_mean,H_tip_var,H_tip_skew,H_tip_kurt,k2_tip_mean,k2_tip_var,k2_tip_skew,k2_tip_kurt,k1_tip_mean,k1_tip_var,k1_tip_skew,k1_tip_kurt,FD,br_length_mean,br_length_var,br_rate_mean,br_rate_var,br_spacing_v1_mean,br_spacing_v1_var,br_spacing_v2_mean,br_spacing_v2_var,da_mean,da_var,db_mean,db_var,dc_mean,dc_var,b_angle_mean,b_angle_var,da_avg_mean,d_avg_var
15Oki01,2015,Acropora,aff.,bifurcata,Testing,5.373537957,0.199389116,-11.14811196,92395.14386,0.81870951,8.510326268,1.204455523,134.100547,0.029050398,3.417063085,-10.07992608,195.1795306,-0.675721257,3.475285326,12.38937495,186.3804613,0.754626296,3.589572633,-6.520179541,159293.5924,0.658322532,8.206167392,2.88497253,172.4918947,-0.144422926,3.391627264,-9.72596038,268.8276666,-0.767704415,3.487629694,15.39102251,226.4193205,0.665239781,3.44423849,2.367559573,0.824492245,0.25908739,0.671123524,0.149599742,0.47685496,0.032972245,0.583304357,0.032553313,0.670640004,0.078785053,0.416489505,0.034480137,0.327830074,0.025297547,1.248672129,0.158362749,0.589763155,0.049584947
15Oki02,2015,Acropora,aff.,hyacinthus,Testing,6.890714577,0.152971649,-15.44209668,81418.81547,0.984179897,8.627484667,1.296672388,125.2971322,-0.00469776,3.602159486,-9.790313211,179.955792,-0.769026952,3.776703926,12.30534,175.1644345,0.709866384,3.460893453,-14.78572547,175385.7098,0.924497301,7.519236431,2.798936508,195.0181202,-0.199748031,3.219735131,-11.09224412,280.8157435,-0.613559911,3.208988373,16.58396215,246.4005564,0.403771493,3.131568781,2.375174218,0.718585694,0.162320488,0.592067183,0.093165866,0.463381479,0.022526693,0.559823627,0.02192597,0.515055311,0.032927035,0.346763897,0.009467377,0.303939528,0.005003372,1.35187902,0.132121141,0.414734001,0.03173167
15Oki03,2015,Acropora,aff.,bifurcata,Testing,6.908932899,0.213270843,-16.82622068,67774.81397,1.21840972,9.266665959,1.517997102,112.1983626,0.055663178,3.627612407,-9.322990861,150.4647388,-0.692373797,3.682307684,12.2340427,166.5386659,0.758674726,3.575836044,-4.643932792,157609.4506,1.12527015,7.979538952,4.474870861,174.0304292,-0.127682745,3.271513444,-9.062676069,238.5509912,-0.537470892,3.236784775,17.82219297,234.5836189,0.490714894,3.252612319,2.301681866,0.718403332,0.148316592,0.589063279,0.086986046,0.506004418,0.020435595,0.591179133,0.025867722,0.549712665,0.033518171,0.297901128,0.004278858,0.248469532,0.00400744,1.347875518,0.103139086,0.504498326,0.037400883
15Oki04,2015,Acropora,aff.,cytherea,Testing,6.577527471,0.228508614,-7.643314214,33996.33519,0.945179392,8.382630345,1.867117952,81.4046616,0.149381321,3.442490095,-7.214101211,113.9774598,-0.697903542,3.771332101,10.86620447,117.3537395,0.783099349,3.537739283,9.095038025,67289.21493,0.684914352,6.444023959,4.933233189,112.5601706,-0.096210957,3.135007855,-5.820515376,175.4901906,-0.697661333,3.48750653,15.56394872,138.9560545,0.545907856,3.202134007,2.322337713,0.811284735,0.19505199,0.665965016,0.115345345,0.491360397,0.01712166,0.55558094,0.022683981,0.529811208,0.036714947,0.301957502,0.007150895,0.240910264,0.004841762,1.248032492,0.095522264,0.346854996,0.042200562
15Oki05,2015,Acropora,aff.,cytherea,Testing,8.320104378,0.194928112,-11.83870969,46251.11927,1.057652281,8.668721232,1.835433789,95.90287445,0.085884799,3.542273296,-8.09132317,126.8389917,-0.715894276,3.702981205,11.65767716,143.9501606,0.792306804,3.596390972,3.265249356,82573.42141,1.003882585,7.270892411,4.94082156,126.1479527,0.052716914,3.15627858,-6.674568704,168.0671262,-0.528620425,3.354824583,16.38192167,176.6779988,0.595783502,3.187400981,2.299046121,0.780830389,0.219329332,0.645558737,0.138396775,0.479766158,0.024421221,0.608038835,0.039841415,0.425013324,0.017391617,0.278609746,0.004428134,0.22898507,0.004477152,1.356348378,0.122600005,0.418258479,0.019202437
15Oki06,2015,Acropora,aff.,bifurcata,Testing,4.299378241,0.30058006,-10.40516355,37989.58953,1.010962851,7.938041861,1.224477701,89.83394565,0.129260071,3.339246576,-8.318794716,119.7244189,-0.570561031,3.434965877,10.71320474,128.5514596,0.693584599,3.34790456,-6.132789777,89506.6773,0.957542402,6.896514489,3.165461859,141.4409041,0.020163456,3.005513062,-8.83456571,189.0204007,-0.402459275,3.020528923,15.07324825,186.1844047,0.451783024,3.021108852,2.277519908,0.766876511,0.204470049,0.62405298,0.114040618,0.472018381,0.027312315,0.553237372,0.028812173,0.755269156,0.112989327,0.3978046,0.018992853,0.355058772,0.01602959,1.268615359,0.115490192,0.715040869,0.102818288
15Oki08,2015,Acropora,aff.,bifurcata,Testing,5.869711989,0.233096199,-15.75321572,107724.021,1.050023021,9.315803387,1.305677079,142.9671257,0.053409483,3.586508858,-10.4353685,199.2863045,-0.733524215,3.706745808,12.92663128,208.4760699,0.79079992,3.590651619,-11.21549867,213425.7889,0.849479317,8.142020087,3.805587608,198.108234,-0.052641154,3.249449747,-10.24781435,289.4367845,-0.57549113,3.245791255,17.68887835,262.8759314,0.580257827,3.310009703,2.321197507,0.831872392,0.284372597,0.671806534,0.171652175,0.470462504,0.033821286,0.594492686,0.049015184,0.561542141,0.06340721,0.349008585,0.015378892,0.271443591,0.012895151,1.281262394,0.120169128,0.559021172,0.076409892
15Oki09,2015,Acropora,aff.,cytherea,Testing,5.640684974,0.220374758,-11.09993129,49432.11794,1.002593181,9.038802331,1.420735509,97.97012201,0.046475054,3.631415677,-8.384230152,139.2208265,-0.846398328,4.034229547,11.17131188,140.0855863,0.774599812,3.537957128,-3.073901531,73542.76713,0.889655451,7.859412531,3.134828123,121.1125129,0.022316191,3.317221744,-7.734441002,174.5995659,-0.726977354,3.714184665,13.9209589,163.3630211,0.630632107,3.191754183,2.338797365,0.754644536,0.214515079,0.61032447,0.117572531,0.459751411,0.02624302,0.560700178,0.032704139,0.656876056,0.071246665,0.37447482,0.040121765,0.299107992,0.042747591,1.232040288,0.094580811,0.612088943,0.076765949
15Oki10,2015,Acropora,aff.,cytherea,Testing,6.147144007,0.21942536,-6.935262343,50676.58455,0.858738164,8.447726172,1.961401723,105.1225762,0.124444926,3.36542467,-8.066821471,145.263825,-0.75726861,3.780377685,11.95537348,148.7979937,0.785131642,3.509410459,1.569401842,68429.57919,0.768958656,7.908402997,3.230919447,121.8773013,0.043378386,3.21417024,-7.387291696,174.3857258,-0.779675711,3.8039887,13.81421023,166.2369938,0.693022467,3.289555109,2.339664997,0.709965071,0.217694231,0.588644803,0.141690728,0.431330423,0.031699964,0.591267571,0.050013306,0.563602442,0.100531536,0.342093941,0.036877373,0.263864026,0.035593192,1.315022192,0.188647303,0.528783586,0.100514465
15Oki11,2015,Acropora,aff.,hyacinthus,Testing,5.183740493,0.228140053,-8.807313117,61661.0543,0.858927399,8.450280902,1.444560649,111.0064329,0.175945382,3.47676266,-8.790487257,158.1560289,-0.643142813,3.556411854,11.62331775,155.1136954,0.823158291,3.698834072,-3.917442956,82912.02124,0.772834973,7.964418794,2.610177637,129.6339981,0.092112336,3.283597429,-8.381686685,189.4742038,-0.643127956,3.481567182,13.53710144,175.1021512,0.740717786,3.517303928,2.346001468,0.79828751,0.257113826,0.644509407,0.144486932,0.463928794,0.030178875,0.568783159,0.030372814,0.622037819,0.082640124,0.377996861,0.028207607,0.316857554,0.025037005,1.268569995,0.147269399,0.800524354,0.108022592
